item_id,job_id,model,condition,specialty
MAIN-089,e00b96f8f71c,Llama 4 Maverick,plain,pediatrics
MAIN-090,6fd919ea09c1,Qwen 3.6 27B,plain,pediatrics
MAIN-091,a293b321f217,Claude Opus 5,plain,pediatrics
MAIN-092,0469a3d1275d,DeepSeek V4 Pro,guided,surgery
MAIN-093,fc7e264a928b,Claude Sonnet 5,plain,psychiatry
MAIN-094,ebf6d8f0f288,GPT-6 Astra,guided,internal_medicine
MAIN-095,e096ffc1dc26,Gemini 3.1 Pro,guided,pediatrics
MAIN-096,f4f613688b8c,Gemini 3.1 Pro,guided,obstetrics_gynecology
MAIN-097,17c647d7ddef,Llama 4 Maverick,plain,psychiatry
MAIN-098,a28d59f69634,Qwen 3.6 27B,plain,neurology
MAIN-099,1ded9b1a8864,Mistral Small 2603,guided,internal_medicine
MAIN-100,e72ffda8e681,Claude Sonnet 5,guided,pediatrics
